_id_: 1;uniprotIds_e: ;uniprotIds: ;
_id_: 2;uniprotIds_e: ;uniprotIds: ;
_id_: 3;uniprotIds_e: ;uniprotIds: ;
_id_: 4;uniprotIds_e: ;uniprotIds: ;
_id_: 5;uniprotIds_e: ;uniprotIds: ;
_id_: 6;uniprotIds_e: ;uniprotIds: ;
_id_: 7;uniprotIds_e: ;uniprotIds: ;
_id_: 8;uniprotIds_e: ;uniprotIds: ;
_id_: 9;uniprotIds_e: ;uniprotIds: ;
_id_: 10;uniprotIds_e: ;uniprotIds: ;
_id_: 11;uniprotIds_e: ;uniprotIds: ;
_id_: 12;uniprotIds_e: ;uniprotIds: ;
_id_: 13;uniprotIds_e: ;uniprotIds: ;
_id_: 14;uniprotIds_e: ;uniprotIds: ;
_id_: 15;uniprotIds_e: ;uniprotIds: ;
_id_: 17;uniprotIds_e: ;uniprotIds: ;
_id_: 16;uniprotIds_e: ;uniprotIds: ;
_id_: 19;uniprotIds_e: ;uniprotIds: ;
_id_: 18;uniprotIds_e: ;uniprotIds: ;
_id_: 21;uniprotIds_e: ;uniprotIds: ;
_id_: 20;uniprotIds_e: ;uniprotIds: ;
_id_: 23;uniprotIds_e: ;uniprotIds: ;
_id_: 22;uniprotIds_e: ;uniprotIds: ;
_id_: 25;uniprotIds_e: ;uniprotIds: ;
_id_: 24;uniprotIds_e: ;uniprotIds: ;
_id_: 27;uniprotIds_e: ;uniprotIds: ;
_id_: 26;uniprotIds_e: ;uniprotIds: ;
_id_: 29;uniprotIds_e: ;uniprotIds: ;
_id_: 28;uniprotIds_e: ;uniprotIds: ;
_id_: 31;uniprotIds_e: ;uniprotIds: ;
_id_: 30;uniprotIds_e: ;uniprotIds: ;
_id_: 34;uniprotIds_e: ;uniprotIds: ;
_id_: 35;uniprotIds_e: ;uniprotIds: ;
_id_: 32;uniprotIds_e: ;uniprotIds: ;
_id_: 33;uniprotIds_e: ;uniprotIds: ;
_id_: 38;uniprotIds_e: ;uniprotIds: ;
_id_: 39;uniprotIds_e: ;uniprotIds: ;
_id_: 36;uniprotIds_e: ;uniprotIds: ;
_id_: 37;uniprotIds_e: ;uniprotIds: ;
_id_: 42;uniprotIds_e: ;uniprotIds: ;
_id_: 43;uniprotIds_e: ;uniprotIds: ;
_id_: 40;uniprotIds_e: ;uniprotIds: ;
_id_: 41;uniprotIds_e: ;uniprotIds: ;
_id_: 46;uniprotIds_e: ;uniprotIds: ;
_id_: 47;uniprotIds_e: ;uniprotIds: ;
_id_: 44;uniprotIds_e: ;uniprotIds: ;
_id_: 45;uniprotIds_e: ;uniprotIds: ;
_id_: 51;uniprotIds_e: ;uniprotIds: ;
_id_: 50;uniprotIds_e: ;uniprotIds: ;
_id_: 49;uniprotIds_e: ;uniprotIds: ;
_id_: 48;uniprotIds_e: ;uniprotIds: ;
_id_: 55;uniprotIds_e: ;uniprotIds: ;
_id_: 54;uniprotIds_e: ;uniprotIds: ;
_id_: 53;uniprotIds_e: ;uniprotIds: ;
_id_: 52;uniprotIds_e: ;uniprotIds: ;
_id_: 59;uniprotIds_e: ;uniprotIds: ;
_id_: 58;uniprotIds_e: ;uniprotIds: ;
_id_: 57;uniprotIds_e: ;uniprotIds: ;
_id_: 56;uniprotIds_e: ;uniprotIds: ;
_id_: 63;uniprotIds_e: ;uniprotIds: ;
_id_: 62;uniprotIds_e: ;uniprotIds: ;
_id_: 61;uniprotIds_e: ;uniprotIds: ;
_id_: 60;uniprotIds_e: ;uniprotIds: ;
_id_: 68;uniprotIds_e: ;uniprotIds: ;
_id_: 69;uniprotIds_e: ;uniprotIds: ;
_id_: 70;uniprotIds_e: ;uniprotIds: ;
_id_: 71;uniprotIds_e: ;uniprotIds: ;
_id_: 64;uniprotIds_e: ;uniprotIds: ;
_id_: 65;uniprotIds_e: ;uniprotIds: ;
_id_: 66;uniprotIds_e: ;uniprotIds: ;
_id_: 67;uniprotIds_e: ;uniprotIds: ;
_id_: 76;uniprotIds_e: ;uniprotIds: ;
_id_: 77;uniprotIds_e: ;uniprotIds: ;
_id_: 78;uniprotIds_e: ;uniprotIds: ;
_id_: 79;uniprotIds_e: ;uniprotIds: ;
_id_: 72;uniprotIds_e: ;uniprotIds: ;
_id_: 73;uniprotIds_e: ;uniprotIds: ;
_id_: 74;uniprotIds_e: ;uniprotIds: ;
_id_: 75;uniprotIds_e: ;uniprotIds: ;
_id_: 85;uniprotIds_e: ;uniprotIds: ;
_id_: 84;uniprotIds_e: ;uniprotIds: ;
_id_: 87;uniprotIds_e: ;uniprotIds: ;
_id_: 86;uniprotIds_e: ;uniprotIds: ;
_id_: 81;uniprotIds_e: ;uniprotIds: ;
_id_: 80;uniprotIds_e: ;uniprotIds: ;
_id_: 83;uniprotIds_e: ;uniprotIds: ;
_id_: 82;uniprotIds_e: ;uniprotIds: ;
_id_: 93;uniprotIds_e: ;uniprotIds: ;
_id_: 92;uniprotIds_e: ;uniprotIds: ;
_id_: 95;uniprotIds_e: ;uniprotIds: ;
_id_: 94;uniprotIds_e: ;uniprotIds: ;
_id_: 89;uniprotIds_e: ;uniprotIds: ;
_id_: 88;uniprotIds_e: ;uniprotIds: ;
_id_: 91;uniprotIds_e: ;uniprotIds: ;
_id_: 90;uniprotIds_e: ;uniprotIds: ;
_id_: 102;uniprotIds_e: ;uniprotIds: ;
_id_: 103;uniprotIds_e: ;uniprotIds: ;
_id_: 100;uniprotIds_e: ;uniprotIds: ;
_id_: 101;uniprotIds_e: ;uniprotIds: ;
_id_: 98;uniprotIds_e: ;uniprotIds: ;
_id_: 99;uniprotIds_e: ;uniprotIds: ;
_id_: 96;uniprotIds_e: ;uniprotIds: ;
_id_: 97;uniprotIds_e: ;uniprotIds: ;
_id_: 110;uniprotIds_e: ;uniprotIds: ;
_id_: 111;uniprotIds_e: ;uniprotIds: ;
_id_: 108;uniprotIds_e: ;uniprotIds: ;
_id_: 109;uniprotIds_e: ;uniprotIds: ;
_id_: 106;uniprotIds_e: ;uniprotIds: ;
_id_: 107;uniprotIds_e: ;uniprotIds: ;
_id_: 104;uniprotIds_e: ;uniprotIds: ;
_id_: 105;uniprotIds_e: ;uniprotIds: ;
_id_: 119;uniprotIds_e: ;uniprotIds: ;
_id_: 118;uniprotIds_e: ;uniprotIds: ;
_id_: 117;uniprotIds_e: ;uniprotIds: ;
_id_: 116;uniprotIds_e: ;uniprotIds: ;
_id_: 115;uniprotIds_e: ;uniprotIds: ;
_id_: 114;uniprotIds_e: ;uniprotIds: ;
_id_: 113;uniprotIds_e: ;uniprotIds: ;
_id_: 112;uniprotIds_e: ;uniprotIds: ;
_id_: 127;uniprotIds_e: ;uniprotIds: ;
_id_: 126;uniprotIds_e: ;uniprotIds: ;
_id_: 125;uniprotIds_e: ;uniprotIds: ;
_id_: 124;uniprotIds_e: ;uniprotIds: ;
_id_: 123;uniprotIds_e: ;uniprotIds: ;
_id_: 122;uniprotIds_e: ;uniprotIds: ;
_id_: 121;uniprotIds_e: ;uniprotIds: ;
_id_: 120;uniprotIds_e: ;uniprotIds: ;
_id_: 137;uniprotIds_e: ;uniprotIds: ;
_id_: 136;uniprotIds_e: ;uniprotIds: ;
_id_: 139;uniprotIds_e: ;uniprotIds: ;
_id_: 138;uniprotIds_e: ;uniprotIds: ;
_id_: 141;uniprotIds_e: ;uniprotIds: ;
_id_: 140;uniprotIds_e: ;uniprotIds: ;
_id_: 143;uniprotIds_e: ;uniprotIds: ;
_id_: 142;uniprotIds_e: ;uniprotIds: ;
_id_: 129;uniprotIds_e: ;uniprotIds: ;
_id_: 128;uniprotIds_e: ;uniprotIds: ;
_id_: 131;uniprotIds_e: ;uniprotIds: ;
_id_: 130;uniprotIds_e: ;uniprotIds: ;
_id_: 133;uniprotIds_e: ;uniprotIds: ;
_id_: 132;uniprotIds_e: ;uniprotIds: ;
_id_: 135;uniprotIds_e: ;uniprotIds: ;
_id_: 134;uniprotIds_e: ;uniprotIds: ;
_id_: 152;uniprotIds_e: ;uniprotIds: ;
_id_: 153;uniprotIds_e: ;uniprotIds: ;
_id_: 154;uniprotIds_e: ;uniprotIds: ;
_id_: 155;uniprotIds_e: ;uniprotIds: ;
_id_: 156;uniprotIds_e: ;uniprotIds: ;
_id_: 157;uniprotIds_e: ;uniprotIds: ;
_id_: 158;uniprotIds_e: ;uniprotIds: ;
_id_: 159;uniprotIds_e: ;uniprotIds: ;
_id_: 144;uniprotIds_e: ;uniprotIds: ;
_id_: 145;uniprotIds_e: ;uniprotIds: ;
_id_: 146;uniprotIds_e: ;uniprotIds: ;
_id_: 147;uniprotIds_e: ;uniprotIds: ;
_id_: 148;uniprotIds_e: ;uniprotIds: ;
_id_: 149;uniprotIds_e: ;uniprotIds: ;
_id_: 150;uniprotIds_e: ;uniprotIds: ;
_id_: 151;uniprotIds_e: ;uniprotIds: ;
_id_: 171;uniprotIds_e: ;uniprotIds: ;
_id_: 170;uniprotIds_e: ;uniprotIds: ;
_id_: 169;uniprotIds_e: ;uniprotIds: ;
_id_: 168;uniprotIds_e: ;uniprotIds: ;
_id_: 175;uniprotIds_e: ;uniprotIds: ;
_id_: 174;uniprotIds_e: ;uniprotIds: ;
_id_: 173;uniprotIds_e: ;uniprotIds: ;
_id_: 172;uniprotIds_e: ;uniprotIds: ;
_id_: 163;uniprotIds_e: ;uniprotIds: ;
_id_: 162;uniprotIds_e: ;uniprotIds: ;
_id_: 161;uniprotIds_e: ;uniprotIds: ;
_id_: 160;uniprotIds_e: ;uniprotIds: ;
_id_: 167;uniprotIds_e: ;uniprotIds: ;
_id_: 166;uniprotIds_e: ;uniprotIds: ;
_id_: 165;uniprotIds_e: ;uniprotIds: ;
_id_: 164;uniprotIds_e: ;uniprotIds: ;
_id_: 186;uniprotIds_e: ;uniprotIds: ;
_id_: 187;uniprotIds_e: ;uniprotIds: ;
_id_: 184;uniprotIds_e: ;uniprotIds: ;
_id_: 185;uniprotIds_e: ;uniprotIds: ;
_id_: 190;uniprotIds_e: ;uniprotIds: ;
_id_: 191;uniprotIds_e: ;uniprotIds: ;
_id_: 188;uniprotIds_e: ;uniprotIds: ;
_id_: 189;uniprotIds_e: ;uniprotIds: ;
_id_: 178;uniprotIds_e: ;uniprotIds: ;
_id_: 179;uniprotIds_e: ;uniprotIds: ;
_id_: 176;uniprotIds_e: ;uniprotIds: ;
_id_: 177;uniprotIds_e: ;uniprotIds: ;
_id_: 182;uniprotIds_e: ;uniprotIds: ;
_id_: 183;uniprotIds_e: ;uniprotIds: ;
_id_: 180;uniprotIds_e: ;uniprotIds: ;
_id_: 181;uniprotIds_e: ;uniprotIds: ;
